      Beudantite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070502 
      Szymanski J T
      The Canadian Mineralogist 26 (1988) 923-932
      The crystal structure of beudantite, Pb(Fe,Al)3((As,S)O4)2(OH)6

      CELL PARAMETERS:   7.3100  7.3100 17.0500   90.000   90.000  120.000
      SPACE GROUP: R-3m      

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  5 +/-  5 +/- 15

               2-THETA      D-SPACING    H   K   L
                43.20        2.0942      3   0   1
                43.37        2.0865      1   2   4
                43.37        2.0865      2   1   4
                44.22        2.0484      0   3   2
                44.22        2.0484      3   0   2
                44.71        2.0269      1   1   7
                44.87        2.0199      1   0   8
                44.87        2.0199      0   1   8
                45.87        1.9783      0   3   3
                45.87        1.9783      3   0   3
                46.36        1.9587      1   2   5
                46.36        1.9587      2   1   5
                47.08        1.9304      0   2   7
                47.08        1.9304      2   0   7
                48.03        1.8944      0   0   9
                48.11        1.8912      0   3   4
                48.11        1.8912      3   0   4
                49.51        1.8411      1   1   8
                49.82        1.8303      1   2   6
                49.82        1.8303      2   1   6
                49.90        1.8275      2   2   0
                50.21        1.8171      2   2   1
                50.27        1.8149      1   0   9
                50.27        1.8149      0   1   9
                50.89        1.7944      0   3   5
                50.89        1.7944      3   0   5
                51.12        1.7869      2   2   2
                51.71        1.7679      0   2   8
                51.71        1.7679      2   0   8
                52.09        1.7558      3   1   0
                52.39        1.7466      1   3   1
                52.39        1.7466      3   1   1
                52.61        1.7398      2   2   3
                53.27        1.7197      1   3   2
                53.27        1.7197      3   1   2
                53.70        1.7069      1   2   7
                53.70        1.7069      2   1   7
                53.76        1.7050      0   0  10
                54.14        1.6942      0   3   6
                54.14        1.6942      3   0   6
                54.56        1.6819      1   1   9
                54.64        1.6796      2   2   4
                54.72        1.6776      1   3   3
                54.72        1.6776      3   1   3
                55.84        1.6463      1   0  10
                55.84        1.6463      0   1  10
                56.62        1.6255      0   2   9
                56.62        1.6255      2   0   9
                56.70        1.6235      1   3   4
                56.70        1.6235      3   1   4
                57.19        1.6108      2   2   5
                57.81        1.5949      0   3   7
                57.81        1.5949      3   0   7
                57.95        1.5915      1   2   8
                57.95        1.5915      2   1   8
                58.30        1.5827      4   0   0
                58.58        1.5759      0   4   1
                58.58        1.5759      4   0   1
                59.19        1.5610      1   3   5
                59.19        1.5610      3   1   5
                59.40        1.5561      0   4   2
                59.40        1.5561      4   0   2
                59.65        1.5500      0   0  11
                59.86        1.5452      1   1  10
                60.20        1.5371      2   2   6
                60.75        1.5246      0   4   3
                60.75        1.5246      4   0   3
                61.60        1.5055      1   0  11
                61.60        1.5055      0   1  11
                61.80        1.5011      0   2  10
                61.80        1.5011      2   0  10
                61.88        1.4995      0   3   8
                61.88        1.4995      3   0   8
                62.14        1.4937      1   3   6
                62.14        1.4937      3   1   6
                62.54        1.4853      1   2   9
                62.54        1.4853      2   1   9
                62.61        1.4837      0   4   4
                62.61        1.4837      4   0   4
                63.66        1.4618      2   2   7
                64.12        1.4523      3   2   0
                64.38        1.4471      2   3   1
                64.38        1.4471      3   2   1
                64.96        1.4356      0   4   5
                64.96        1.4356      4   0   5
                65.16        1.4317      3   2   2
                65.16        1.4317      2   3   2
                65.40        1.4270      1   1  11
                65.54        1.4243      1   3   7
                65.54        1.4243      3   1   7
                65.72        1.4208      0   0  12
                66.30        1.4097      0   3   9
                66.30        1.4097      3   0   9
                66.44        1.4071      2   3   3
                66.44        1.4071      3   2   3
                67.26        1.3921      0   2  11
                67.26        1.3921      2   0  11
                67.45        1.3885      1   2  10
                67.45        1.3885      2   1  10
                67.52        1.3873      2   2   8
                67.57        1.3863      1   0  12
                67.57        1.3863      0   1  12
                67.77        1.3827      0   4   6
                67.77        1.3827      4   0   6
                67.84        1.3815      4   1   0
                68.09        1.3769      1   4   1
                68.09        1.3769      4   1   1
                68.22        1.3747      3   2   4
                68.22        1.3747      2   3   4
                68.85        1.3637      1   4   2
                68.85        1.3637      4   1   2
                69.34        1.3552      3   1   8
                69.34        1.3552      1   3   8
                70.10        1.3424      1   4   3
                70.10        1.3424      4   1   3
                70.47        1.3362      2   3   5
                70.47        1.3362      3   2   5
                71.03        1.3271      0   4   7
                71.03        1.3271      4   0   7
                71.08        1.3262      0   3  10
                71.08        1.3262      3   0  10
                71.20        1.3243      1   1  12
                71.77        1.3153      2   2   9
                71.84        1.3142      1   4   4
                71.84        1.3142      4   1   4
                72.00        1.3115      0   0  13
                72.68        1.3009      1   2  11
                72.68        1.3009      2   1  11
                72.99        1.2962      2   0  12
                72.99        1.2962      0   2  12
                73.18        1.2932      3   2   6
                73.18        1.2932      2   3   6
                73.55        1.2878      1   3   9
                73.55        1.2878      3   1   9
                73.78        1.2843      1   0  13
                73.78        1.2843      0   1  13
                74.04        1.2804      4   1   5
                74.04        1.2804      1   4   5
                74.71        1.2706      0   4   8
                74.71        1.2706      4   0   8
                75.02        1.2661      5   0   0
                75.26        1.2627      0   5   1
                75.26        1.2627      5   0   1
                75.98        1.2524      0   5   2
                75.98        1.2524      5   0   2
                76.21        1.2492      3   0  11
                76.21        1.2492      0   3  11
                76.34        1.2474      2   3   7
                76.34        1.2474      3   2   7
                76.40        1.2467      2   2  10
                76.70        1.2424      1   4   6
                76.70        1.2424      4   1   6
                77.19        1.2358      0   5   3
                77.19        1.2358      5   0   3
                77.29        1.2345      1   1  13
                78.14        1.2232      3   1  10
                78.14        1.2232      1   3  10
                78.25        1.2217      1   2  12
                78.25        1.2217      2   1  12
                78.51        1.2183      3   3   0
                78.55        1.2179      0   0  14
                78.75        1.2152      3   3   1
                78.80        1.2146      0   4   9
                78.80        1.2146      4   0   9
                78.87        1.2137      0   5   4
                78.87        1.2137      5   0   4
                79.03        1.2116      0   2  13
                79.03        1.2116      2   0  13
                79.46        1.2061      3   3   2
                79.82        1.2016      1   4   7
                79.82        1.2016      4   1   7
                79.93        1.2002      3   2   8
                79.93        1.2002      2   3   8
                80.24        1.1964      4   2   0
                80.27        1.1959      0   1  14
                80.27        1.1959      1   0  14
                80.48        1.1934      4   2   1
                80.48        1.1934      2   4   1
                80.65        1.1913      3   3   3
                81.01        1.1870      5   0   5
                81.01        1.1870      0   5   5
                81.19        1.1848      2   4   2
                81.19        1.1848      4   2   2
                81.41        1.1821      2   2  11
                81.70        1.1786      3   0  12
                81.70        1.1786      0   3  12
                82.31        1.1714      3   3   4
                82.37        1.1707      2   4   3
                82.37        1.1707      4   2   3
                83.13        1.1620      3   1  11
                83.13        1.1620      1   3  11
                83.31        1.1600      0   4  10
                83.31        1.1600      4   0  10
                83.37        1.1592      1   4   8
                83.37        1.1592      4   1   8
                83.61        1.1565      0   5   6
                83.61        1.1565      5   0   6
                83.71        1.1554      1   1  14
                83.96        1.1526      2   3   9
                83.96        1.1526      3   2   9
                84.02        1.1519      4   2   4
                84.02        1.1519      2   4   4
                84.18        1.1501      2   1  13
                84.18        1.1501      1   2  13
                84.43        1.1473      3   3   5
                85.38        1.1370      5   1   0
                85.41        1.1367      0   0  15
                85.41        1.1366      0   2  14
                85.41        1.1366      2   0  14
                85.61        1.1345      5   1   1
                85.61        1.1345      1   5   1
                86.14        1.1289      4   2   5
                86.14        1.1289      2   4   5
                86.32        1.1270      5   1   2
                86.32        1.1270      1   5   2
                86.66        1.1234      0   5   7
                86.66        1.1234      5   0   7
                86.83        1.1217      2   2  12
                87.02        1.1198      3   3   6
                87.11        1.1188      1   0  15
                87.11        1.1188      0   1  15
                87.37        1.1162      4   1   9
                87.37        1.1162      1   4   9
                87.49        1.1149      1   5   3
                87.49        1.1149      5   1   3
                87.59        1.1139      0   3  13
                87.59        1.1139      3   0  13
                88.24        1.1074      4   0  11
                88.24        1.1074      0   4  11
                88.42        1.1056      2   3  10
                88.42        1.1056      3   2  10
                88.53        1.1045      3   1  12
                88.53        1.1045      1   3  12
                88.72        1.1026      4   2   6
                88.72        1.1026      2   4   6
                89.13        1.0986      5   1   4
                89.13        1.0986      1   5   4
================================================================================
       Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
